id,title,Release Year,runtime,Budget,CPI budget,Budget Type,revenue,genres
11259,Far and Away,1992,140,$60000000,$58429201,Mid,$137783840,"Adventure, Drama, Romance, Western"
10712,Far from Heaven,2002,107,$13500000,$25105798,Mid,$29027914,"Drama, Romance"
20713,Farewell to the King,1989,117,$16000000,$9776750,Low,$2420917,"War, Adventure"
1835,"Farewell, My Lovely",1975,95,$2500000,$806485,Low,$2000000,"Crime, Mystery, Thriller"
275,Fargo,1996,98,$7000000,$7043752,Low,$60611975,"Crime, Drama, Thriller"
1342187,Fart Masters,2024,92,$160000,$160000,Low,$600000,"Comedy, Adventure"
71547,Fascination,2004,95,$5000000,$5508525,Low,$16670,"Romance, Thriller, Mystery"
13804,Fast & Furious,2009,107,$85000000,$389026596,High,$363164265,"Action, Crime, Drama, Thriller"
82992,Fast & Furious 6,2013,131,$160000000,$322169246,High,$788680968,"Action, Thriller, Crime"
384018,Fast & Furious Presents: Hobbs & Shaw,2019,137,$200000000,$325516919,High,$760098996,"Action, Adventure, Comedy"
51497,Fast Five,2011,130,$125000000,$116790990,High,$626137675,"Action, Thriller, Crime"
13342,Fast Times at Ridgemont High,1982,90,$4500000,$2164727,Low,$27092880,Comedy
385687,Fast X,2023,142,$340000000,$243623939,High,$704709660,"Action, Crime, Thriller"
41283,Faster,2010,98,$24000000,$43162640,Mid,$23081726,"Crime, Drama, Action, Thriller"
15045,Fat Albert,2004,93,$26000000,$28644331,Mid,$48563556,"Comedy, Family, Fantasy"
15603,Fat Pizza,2003,96,$400000,$519718,Low,$7888102,Comedy
10998,Fatal Attraction,1987,119,$14000000,$11268288,Low,$320145693,"Drama, Thriller"
1041195,Fatal Influence: Like. Follow. Survive.,2022,94,$25000,$9214,Low,$1200,Horror
354861,Father Figures,2017,125,$25000000,$34617053,Mid,$25601244,Comedy
11846,Father of the Bride,1991,105,$20000000,$13929399,Low,$89325780,"Comedy, Romance"
809140,Father Stu,2022,124,$4000000,$1474247,Low,$21591034,Drama
12499,Fathers' Day,1997,99,$85000000,$107246747,High,$35598376,"Comedy, Family"
1878,Fear and Loathing in Las Vegas,1998,118,$18500000,$35152323,Mid,$10680275,"Adventure, Drama, Comedy"
9544,FearDotCom,2002,101,$40000000,$74387551,High,$18902015,"Horror, Thriller, Crime"
10070,Feast,2005,95,$3200000,$2781958,Low,$658573,"Action, Horror, Thriller"
36523,Felix the Cat: The Movie,1988,82,$9000000,$6509910,Low,$1964253,"Animation, Family"
440777,Female Fight Squad,2017,90,$2000000,$2769364,Low,$22253,Action
9280,Femme Fatale,2002,114,$35000000,$65089107,Mid,$16830252,"Mystery, Crime, Thriller"
393457,Fences,2016,139,$24000000,$56110928,Mid,$64414761,Drama
364689,Ferdinand,2017,108,$111000000,$153699714,High,$295038508,"Animation, Family, Adventure, Comedy"
13225,FernGully: The Last Rainforest,1992,76,$24000000,$23371680,Mid,$32710894,"Family, Fantasy, Animation, Adventure"
9377,Ferris Bueller's Day Off,1986,103,$6000000,$9323871,Low,$70136369,Comedy
11431,Fever Pitch,2005,104,$30000000,$26080860,Mid,$50500000,"Comedy, Drama, Romance"
14811,Fiddler on the Roof,1971,179,$9000000,$6183827,Low,$83304330,"Drama, Romance"
10288,Fido,2006,92,$8000000,$7314510,Low,$426224,"Horror, Comedy, Romance, Drama"
2323,Field of Dreams,1989,107,$15000000,$9165703,Low,$84431625,"Drama, Fantasy"
12145,Fierce Creatures,1997,93,$25000000,$31543161,Mid,$9381260,"Comedy, Romance"
341174,Fifty Shades Darker,2017,118,$55000000,$76157516,High,$378827494,"Drama, Romance"
337167,Fifty Shades Freed,2018,105,$55000000,$66414884,Mid,$368307760,"Drama, Romance"
351819,Fifty Shades of Black,2016,92,$20000000,$46759107,Mid,$21164799,"Romance, Comedy"
216015,Fifty Shades of Grey,2015,125,$40000000,$994553292,High,$571006128,"Drama, Romance, Thriller"
550,Fight Club,1999,139,$63000000,$84925858,High,$100853753,Drama
445629,Fighting with My Family,2019,108,$11000000,$17903431,Low,$39055536,Comedy
398174,Film Stars Don't Die in Liverpool,2017,105,$10000000,$13846821,Low,$3179847,"Romance, Drama"
85889,Filth,2013,97,$5000000,$10067789,Low,$9114264,"Crime, Drama, Comedy"
18548,Filth and Wisdom,2008,81,$3500000,$2688999,Low,$354628,Comedy
4823,Final Analysis,1992,124,$32000000,$31162240,Mid,$28590665,"Drama, Thriller, Romance"
9532,Final Destination,2000,98,$23000000,$20089413,Mid,$112880294,Horror
9358,Final Destination 2,2003,90,$26000000,$33781695,Mid,$90941129,"Horror, Mystery"
9286,Final Destination 3,2006,93,$25000000,$22857845,Mid,$118890272,"Horror, Mystery"
55779,Final Destination 5,2011,92,$47000000,$43913412,Mid,$157887643,"Horror, Mystery"
40469,Final Exam,1981,90,$374000,$106740,Low,$3000000,Horror
2114,Final Fantasy: The Spirits Within,2001,106,$137000000,$142979648,High,$85131830,"Adventure, Action, Fantasy, Science Fiction, Thriller, Romance, Animation"
9950,Find Me Guilty,2006,125,$13000000,$11886079,Low,$2636637,"Comedy, Crime, Drama"
31896,Finding Bliss,2009,96,$1500000,$6865175,Low,$6783,Comedy
127380,Finding Dory,2016,97,$200000000,$467591070,High,$1028570889,"Adventure, Animation, Comedy, Family"
711,Finding Forrester,2000,136,$43000000,$37558467,Mid,$80049764,Drama
716757,Finding Home,2013,86,$10000,$20136,Low,$1000,"Drama, Family"
12,Finding Nemo,2003,100,$94000000,$122133819,High,$940335536,"Animation, Family"
866,Finding Neverland,2004,106,$25000000,$27542626,Mid,$116766556,Drama
426030,Finding Your Feet,2017,111,$7154497,$9906704,Low,$15500000,"Comedy, Drama, Family, Music, Romance"
13983,Finishing the Game: The Search for a New Bruce Lee,2007,84,$500000,$516976,Low,$52868,"Comedy, Documentary"
15035,Fire and Ice,1983,81,$1200000,$1101790,Low,$760883,"Animation, Fantasy, Science Fiction"
