Title,Release Year,Runtime,Budget,CPI Budget,Revenue,CPI budget,Budget Type,Genres
Empire,2002,90,"4,000,000.00","7,166,203.45","18,591,272.00","7,438,755.00",Low,"Crime, Action, Drama"
Tuck Everlasting,2002,90,"15,000,000.00","26,873,262.92","19,158,074.00","27,895,332.00",Mid,"Drama, Family, Fantasy, Romance"
Stolen Summer,2002,91,"1,800,000.00","3,224,791.55","163,348.00","3,347,440.00",Low,"Drama, Family, Comedy"
Joshua,2002,91,"9,000,000.00","16,123,957.75","1,347,988.00","16,737,199.00",Low,Drama
Ballistic: Ecks vs. Sever,2002,91,"70,000,000.00","125,408,560.31","19,924,033.00","130,178,214.00",High,"Action, Adventure, Thriller"
Ghost Ship,2002,91,"35,000,000.00","62,704,280.16","68,349,884.00","65,089,107.00",Mid,"Horror, Mystery, Thriller"
Crackerjack,2002,92,"2,600,000.00","4,658,032.24","6,500,000.00","4,835,191.00",Low,Comedy
National Lampoon's Van Wilder,2002,92,"6,000,000.00","10,749,305.17","39,241,323.00","11,158,133.00",Low,"Comedy, Romance"
The Transporter,2002,92,"21,000,000.00","37,622,568.09","43,928,932.00","39,053,464.00",Mid,"Action, Crime, Thriller"
The Scorpion King,2002,92,"60,000,000.00","107,493,051.70","165,333,180.00","111,581,326.00",High,"Action, Adventure, Fantasy"
The Kid Stays in the Picture,2002,93,"40,000.00","71,662.03","1,434,436.00","74,388.00",Low,Documentary
Extreme Ops,2002,93,"40,000,000.00","71,662,034.46","10,959,475.00","74,387,551.00",High,"Action, Adventure, Thriller"
Sorority Boys,2002,93,"12,000,000.00","21,498,610.34","12,517,488.00","22,316,265.00",Mid,Comedy
The Good Girl,2002,93,"8,000,000.00","14,332,406.89","16,860,964.00","14,877,510.00",Low,"Drama, Comedy, Romance"
Crossroads,2002,93,"12,000,000.00","21,498,610.34","61,141,030.00","22,316,265.00",Mid,"Comedy, Drama, Romance"
Austin Powers in Goldmember,2002,93,"63,000,000.00","112,867,704.28","296,938,801.00","117,160,393.00",High,"Comedy, Crime, Science Fiction"
Undertaking Betty,2002,94,"8,000,000.00","14,332,406.89","1,868,949.00","14,877,510.00",Low,"Comedy, Romance"
Boat Trip,2002,94,"20,000,000.00","35,831,017.23","8,586,376.00","37,193,775.00",Mid,Comedy
Halloween: Resurrection,2002,94,"13,000,000.00","23,290,161.20","37,664,855.00","24,175,954.00",Mid,"Horror, Thriller"
Clockstoppers,2002,94,"26,000,000.00","46,580,322.40","38,793,283.00","48,351,908.00",Mid,"Adventure, Family, Science Fiction, Thriller"
40 Days and 40 Nights,2002,94,"17,000,000.00","30,456,364.65","95,146,283.00","31,614,709.00",Mid,"Comedy, Romance"
Cypher,2002,95,"7,500,000.00","13,436,631.46","898,365.00","13,947,666.00",Low,"Thriller, Science Fiction"
The Adventures of Pluto Nash,2002,95,"100,000,000.00","179,155,086.16","7,103,973.00","185,968,877.00",High,"Action, Comedy, Science Fiction"
All About the Benjamins,2002,95,"14,000,000.00","25,081,712.06","25,482,931.00","26,035,643.00",Mid,"Action, Adventure, Comedy"
Showtime,2002,95,"85,000,000.00","152,281,823.24","77,885,672.00","158,073,545.00",High,"Action, Comedy"
Treasure Planet,2002,95,"140,000,000.00","250,817,120.62","109,578,115.00","260,356,428.00",High,"Adventure, Animation, Family, Fantasy, Science Fiction"
My Big Fat Greek Wedding,2002,95,"5,000,000.00","8,957,754.31","368,744,044.00","9,298,444.00",Low,"Comedy, Drama, Romance"
Liberty Stands Still,2002,96,"11,000,000.00","19,707,059.48","595,214.00","20,456,576.00",Mid,"Thriller, Action, Drama"
Full Frontal,2002,96,"2,000,000.00","3,583,101.72","3,438,804.00","3,719,378.00",Low,"Comedy, Romance"
D-Tox,2002,96,"55,000,000.00","98,535,297.39","6,632,383.00","102,282,882.00",High,"Action, Thriller, Horror"
Undisputed,2002,96,"20,000,000.00","35,831,017.23","14,946,150.00","37,193,775.00",Mid,"Drama, Crime"
Punch-Drunk Love,2002,96,"25,000,000.00","44,788,771.54","24,665,649.00","46,492,219.00",Mid,"Romance, Drama, Comedy"
One Hour Photo,2002,96,"12,000,000.00","21,498,610.34","52,223,306.00","22,316,265.00",Mid,"Drama, Thriller"
Analyze That,2002,96,"60,000,000.00","107,493,051.70","55,003,135.00","111,581,326.00",High,"Comedy, Crime"
The Time Machine,2002,96,"80,000,000.00","143,324,068.93","123,729,176.00","148,775,102.00",High,"Science Fiction, Adventure, Action"
Mr. Deeds,2002,96,"50,000,000.00","89,577,543.08","171,269,535.00","92,984,439.00",High,"Comedy, Romance"
Ken Park,2002,97,"1,300,000.00","2,329,016.12","447,741.00","2,417,595.00",Low,Drama
Igby Goes Down,2002,97,"9,000,000.00","16,123,957.75","4,777,465.00","16,737,199.00",Low,"Comedy, Drama"
Kissing Jessica Stein,2002,97,"1,000,000.00","1,791,550.86","10,013,424.00","1,859,689.00",Low,Comedy
I Spy,2002,97,"70,000,000.00","125,408,560.31","51,386,477.00","130,178,214.00",High,"Action, Adventure, Comedy, Thriller"
Half Past Dead,2002,98,"25,000,000.00","44,788,771.54","19,233,280.00","46,492,219.00",Mid,"Crime, Action, Thriller"
Rollerball,2002,98,"70,000,000.00","125,408,560.31","25,852,764.00","130,178,214.00",High,"Action, Science Fiction, Thriller"
The Banger Sisters,2002,98,"10,000,000.00","17,915,508.62","38,068,353.00","18,596,888.00",Low,"Comedy, Drama"
The Tuxedo,2002,98,"60,000,000.00","107,493,051.70","104,391,623.00","111,581,326.00",High,"Thriller, Action, Comedy, Science Fiction"
Ted Bundy,2002,99,"1,200,000.00","2,149,861.03","68,716.00","2,231,627.00",Low,"Crime, Drama, Horror"
Poolhall Junkies,2002,99,"4,000,000.00","7,166,203.45","563,711.00","7,438,755.00",Low,"Comedy, Drama, Thriller"
Abandon,2002,99,"25,000,000.00","44,788,771.54","10,719,357.00","46,492,219.00",Mid,"Drama, Mystery, Thriller"
Solaris,2002,99,"47,000,000.00","84,202,890.49","30,002,758.00","87,405,372.00",High,"Drama, Science Fiction, Mystery"
Eight Legged Freaks,2002,99,"30,000,000.00","53,746,525.85","45,867,333.00","55,790,663.00",Mid,"Action, Comedy, Horror, Thriller"
Snow Dogs,2002,99,"35,000,000.00","62,704,280.16","81,000,000.00","65,089,107.00",Mid,"Comedy, Family, Adventure"
Changing Lanes,2002,99,"45,000,000.00","80,619,788.77","94,935,764.00","83,685,995.00",High,Thriller
People I Know,2002,100,"20,000,000.00","35,831,017.23","5,484,302.00","37,193,775.00",Mid,"Drama, Thriller"
Killing Me Softly,2002,100,"25,000,000.00","44,788,771.54","7,775,138.00","46,492,219.00",Mid,Thriller
Serving Sara,2002,100,"29,000,000.00","51,954,974.99","16,930,185.00","53,930,974.00",Mid,"Comedy, Romance"
Resident Evil,2002,100,"33,000,000.00","59,121,178.43","102,984,862.00","61,369,729.00",Mid,"Horror, Action, Science Fiction"
Spy Kids 2: The Island of Lost Dreams,2002,100,"38,000,000.00","68,078,932.74","119,723,358.00","70,668,173.00",High,"Action, Adventure, Family, Comedy, Science Fiction"
Dahmer,2002,101,"250,000.00","447,887.72","144,008.00","464,922.00",Low,"Crime, Drama, Thriller"
FearDotCom,2002,101,"40,000,000.00","71,662,034.46","18,902,015.00","74,387,551.00",High,"Horror, Thriller, Crime"
The Quiet American,2002,101,"30,000,000.00","53,746,525.85","27,674,124.00","55,790,663.00",Mid,"Romance, Thriller, Drama"
Queen of the Damned,2002,101,"35,000,000.00","62,704,280.16","45,479,110.00","65,089,107.00",Mid,"Drama, Fantasy, Horror"
A Walk to Remember,2002,101,"11,800,000.00","21,140,300.17","47,494,916.00","21,944,327.00",Mid,"Drama, Romance"
Reign of Fire,2002,101,"60,000,000.00","107,493,051.70","82,150,183.00","111,581,326.00",High,"Adventure, Action, Fantasy"
About a Boy,2002,101,"27,000,000.00","48,371,873.26","129,000,000.00","50,211,597.00",Mid,"Drama, Comedy, Romance"
Two Weeks Notice,2002,101,"60,000,000.00","107,493,051.70","199,043,242.00","111,581,326.00",High,"Comedy, Romance"
Men with Brooms,2002,102,"7,500,000.00","13,436,631.46","4,245,870.00","13,947,666.00",Low,"Comedy, Romance"
Possession,2002,102,"25,000,000.00","44,788,771.54","10,113,733.00","46,492,219.00",Mid,"Drama, Mystery, Romance"
Darkness,2002,102,"10,600,000.00","18,990,439.13","33,988,736.00","19,712,701.00",Low,Horror
Barbershop,2002,102,"12,000,000.00","21,498,610.34","77,063,924.00","22,316,265.00",Mid,"Comedy, Drama"
The Salton Sea,2002,103,"18,000,000.00","32,247,915.51","676,698.00","33,474,398.00",Mid,"Crime, Drama, Mystery, Thriller"
Life or Something Like It,2002,103,"40,000,000.00","71,662,034.46","16,872,671.00","74,387,551.00",High,"Comedy, Drama, Romance"
Auto Focus,2002,104,"7,000,000.00","12,540,856.03","2,062,066.00","13,017,821.00",Low,"Crime, Drama"
Blue Crush,2002,104,"25,000,000.00","44,788,771.54","51,842,679.00","46,492,219.00",Mid,"Adventure, Romance, Drama"
Dragonfly,2002,104,"60,000,000.00","107,493,051.70","52,322,400.00","111,581,326.00",High,"Thriller, Fantasy"
The Santa Clause 2,2002,104,"65,000,000.00","116,450,806.00","172,842,355.00","120,879,770.00",High,"Fantasy, Comedy, Family"
Below,2002,105,"40,000,000.00","71,662,034.46","2,622,015.00","74,387,551.00",High,"Thriller, Horror, Mystery"
Dog Soldiers,2002,105,"2,000,000.00","3,583,101.72","3,537,283.00","3,719,378.00",Low,"Horror, Action, Thriller"
Narc,2002,105,"6,500,000.00","11,645,080.60","12,633,747.00","12,087,977.00",Low,"Crime, Drama, Thriller, Mystery"
Maid in Manhattan,2002,105,"55,000,000.00","98,535,297.39","154,906,693.00","102,282,882.00",High,"Comedy, Drama, Romance"
Trapped,2002,106,"30,000,000.00","53,746,525.85","13,414,416.00","55,790,663.00",Mid,"Action, Crime, Thriller"
Signs,2002,106,"72,000,000.00","128,991,662.03","408,247,917.00","133,897,591.00",High,"Drama, Thriller, Science Fiction, Mystery"
Equilibrium,2002,107,"20,000,000.00","35,831,017.23","5,359,645.00","37,193,775.00",Mid,"Action, Science Fiction, Thriller"
Secretary,2002,107,"4,000,000.00","7,166,203.45","9,304,609.00","7,438,755.00",Low,"Comedy, Drama, Romance"
Far from Heaven,2002,107,"13,500,000.00","24,185,936.63","29,027,914.00","25,105,798.00",Mid,"Drama, Romance"
City by the Sea,2002,108,"40,000,000.00","71,662,034.46","22,433,915.00","74,387,551.00",High,"Crime, Drama, Mystery"
Collateral Damage,2002,108,"85,000,000.00","152,281,823.24","78,382,433.00","158,073,545.00",High,"Action, Thriller, Drama"
Sweet Home Alabama,2002,108,"30,000,000.00","53,746,525.85","180,622,424.00","55,790,663.00",Mid,"Comedy, Romance"
Death to Smoochy,2002,109,"55,000,000.00","98,535,297.39","8,382,938.00","102,282,882.00",High,"Comedy, Crime, Drama, Thriller"
Brown Sugar,2002,109,"8,000,000.00","14,332,406.89","27,362,712.00","14,877,510.00",Low,"Comedy, Romance"
The Rules of Attraction,2002,110,"4,000,000.00","7,166,203.45","11,832,822.00","7,438,755.00",Low,"Drama, Romance, Comedy"
Blood Work,2002,110,"50,000,000.00","89,577,543.08","31,794,718.00","92,984,439.00",High,"Thriller, Crime"
Panic Room,2002,111,"48,000,000.00","85,994,441.36","197,079,546.00","89,265,061.00",High,"Crime, Drama, Thriller"
8 Mile,2002,111,"41,000,000.00","73,453,585.33","242,875,078.00","76,247,240.00",High,"Drama, Music"
Bend It Like Beckham,2002,112,"3,500,159.00","6,270,712.87","76,578,641.00","6,509,206.00",Low,"Comedy, Drama, Romance"
Martin Lawrence Live: Runteldat,2002,113,"3,000,000.00","5,374,652.58","19,184,015.00","5,579,066.00",Low,Comedy
Confessions of a Dangerous Mind,2002,113,"30,000,000.00","53,746,525.85","33,013,805.00","55,790,663.00",Mid,"Comedy, Crime, Drama"
28 Days Later,2002,113,"5,000,000.00","8,957,754.31","85,720,385.00","9,298,444.00",Low,"Horror, Thriller, Science Fiction"
Chicago,2002,113,"45,000,000.00","80,619,788.77","306,776,732.00","83,685,995.00",High,"Comedy, Crime, Drama"
Femme Fatale,2002,114,"35,000,000.00","62,704,280.16","16,830,252.00","65,089,107.00",Mid,"Mystery, Crime, Thriller"
The Hours,2002,114,"25,000,000.00","44,788,771.54","41,597,830.00","46,492,219.00",Mid,Drama
Enough,2002,114,"38,000,000.00","68,078,932.74","51,801,187.00","70,668,173.00",High,"Drama, Thriller"
Adaptation.,2002,115,"19,000,000.00","34,039,466.37","32,801,173.00","35,334,087.00",Mid,"Comedy, Crime, Drama"
High Crimes,2002,115,"42,000,000.00","75,245,136.19","63,781,810.00","78,106,928.00",High,"Drama, Mystery, Thriller, Crime"
The Ring,2002,115,"48,000,000.00","85,994,441.36","249,348,933.00","89,265,061.00",High,"Horror, Mystery"
City of Ghosts,2002,116,"17,500,000.00","31,352,140.08","1,277,187.00","32,544,553.00",Mid,Thriller
Bad Company,2002,116,"70,000,000.00","125,408,560.31","65,977,295.00","130,178,214.00",High,"Action, Adventure, Comedy, Thriller"
Star Trek: Nemesis,2002,116,"60,000,000.00","107,493,051.70","67,312,826.00","111,581,326.00",High,"Science Fiction, Action, Adventure, Thriller"
Divine Secrets of the Ya-Ya Sisterhood,2002,116,"27,000,000.00","48,371,873.26","73,839,240.00","50,211,597.00",Mid,"Comedy, Drama"
John Q,2002,116,"36,000,000.00","64,495,831.02","102,244,770.00","66,948,796.00",Mid,"Drama, Thriller, Crime"
Moonlight Mile,2002,117,"21,000,000.00","37,622,568.09","10,011,050.00","39,053,464.00",Mid,"Romance, Drama"
S1m0ne,2002,117,"10,000,000.00","17,915,508.62","19,576,023.00","18,596,888.00",Low,"Science Fiction, Comedy, Drama"
Blade II,2002,117,"54,000,000.00","96,743,746.53","155,010,032.00","100,423,194.00",High,"Fantasy, Horror, Action, Thriller"
Road to Perdition,2002,117,"80,000,000.00","143,324,068.93","181,001,478.00","148,775,102.00",High,"Crime, Drama, Thriller"
Dark Blue,2002,118,"15,000,000.00","26,873,262.92","12,150,301.00","27,895,332.00",Mid,"Crime, Drama, Thriller, Action"
Drumline,2002,118,"20,000,000.00","35,831,017.23","57,588,485.00","37,193,775.00",Mid,"Drama, Romance, Comedy, Music"
Insomnia,2002,118,"46,000,000.00","82,411,339.63","113,714,830.00","85,545,683.00",High,"Thriller, Crime"
The Mothman Prophecies,2002,119,"32,000,000.00","57,329,627.57","55,305,279.00","59,510,041.00",Mid,"Drama, Horror, Mystery"
The Bourne Identity,2002,119,"60,000,000.00","107,493,051.70","214,034,224.00","111,581,326.00",High,"Action, Drama, Mystery, Thriller"
Antwone Fisher,2002,120,"12,500,000.00","22,394,385.77","23,367,586.00","23,246,110.00",Mid,"Drama, Romance"
Bowling for Columbine,2002,120,"4,000,000.00","7,166,203.45","35,564,473.00","7,438,755.00",Low,"Documentary, Drama"
Murder by Numbers,2002,120,"50,000,000.00","89,577,543.08","56,714,147.00","92,984,439.00",High,"Crime, Drama, Thriller"
Spider-Man,2002,121,"139,000,000.00","249,025,569.76","821,708,551.00","258,496,739.00",High,"Fantasy, Action"
Spider-Man,2002,121,"139,000,000.00","249,025,569.76","821,708,551.00","258,496,739.00",High,"Action, Science Fiction"
Frida,2002,123,"12,000,000.00","21,498,610.34","56,298,474.00","22,316,265.00",Mid,"Drama, Romance"
Unfaithful,2002,124,"50,000,000.00","89,577,543.08","119,137,784.00","92,984,439.00",High,"Thriller, Drama"
The Sum of All Fears,2002,124,"68,000,000.00","121,825,458.59","193,921,372.00","126,458,836.00",High,"Thriller, Action, Drama"
Red Dragon,2002,124,"78,000,000.00","139,740,967.20","209,196,298.00","145,055,724.00",High,"Crime, Drama, Thriller"
xXx,2002,124,"70,000,000.00","125,408,560.31","277,448,382.00","130,178,214.00",High,"Action, Adventure, Thriller"
Iron Maiden: Rock In Rio,2002,125,"1,000,000.00","1,791,550.86","10,000,000.00","1,859,689.00",Low,"Music, Documentary"
Hart's War,2002,125,"70,000,000.00","125,408,560.31","32,287,044.00","130,178,214.00",High,"Drama, War"
About Schmidt,2002,125,"30,000,000.00","53,746,525.85","105,834,556.00","55,790,663.00",Mid,"Drama, Comedy"
The Rookie,2002,127,"20,000,000.00","35,831,017.23","75,597,042.00","37,193,775.00",Mid,"Drama, Family"
The Count of Monte Cristo,2002,131,"35,000,000.00","62,704,280.16","75,395,048.00","65,089,107.00",Mid,"Adventure, Drama, History"
The Four Feathers,2002,132,"35,000,000.00","62,704,280.16","29,882,645.00","65,089,107.00",Mid,"Action, Adventure, Drama, Romance, War"
Die Another Day,2002,133,"140,000,000.00","250,817,120.62","431,971,116.00","260,356,428.00",High,"Adventure, Action, Thriller"
Windtalkers,2002,134,"115,000,000.00","206,028,349.08","77,628,265.00","213,864,209.00",High,"War, Drama, Action, History"
25th Hour,2002,135,"5,000,000.00","8,957,754.31","23,932,055.00","9,298,444.00",Low,"Crime, Drama"
K-19: The Widowmaker,2002,138,"100,000,000.00","179,155,086.16","35,168,966.00","185,968,877.00",High,"Drama, History, War, Thriller, Mystery"
We Were Soldiers,2002,138,"75,000,000.00","134,366,314.62","114,660,784.00","139,476,658.00",High,"Action, History, War"
Catch Me If You Can,2002,141,"52,000,000.00","93,160,644.80","352,114,312.00","96,703,816.00",High,"Drama, Crime"
Star Wars: Episode II - Attack of the Clones,2002,142,"120,000,000.00","214,986,103.39","649,398,328.00","223,162,652.00",High,"Adventure, Action, Science Fiction"
Minority Report,2002,145,"102,000,000.00","182,738,187.88","358,372,926.00","189,688,255.00",High,"Action, Thriller, Science Fiction, Mystery"
The Pianist,2002,150,"35,000,000.00","62,704,280.16","120,072,577.00","65,089,107.00",Mid,"Drama, War"
Harry Potter and the Chamber of Secrets,2002,161,"100,000,000.00","179,155,086.16","876,688,482.00","185,968,877.00",High,"Adventure, Fantasy"
The Day It Happened,2002,166,"5,000,000.00","8,957,754.31","30,000,000.00","9,298,444.00",Low,"Drama, Thriller"
Gangs of New York,2002,168,"100,000,000.00","179,155,086.16","193,772,504.00","185,968,877.00",High,"Drama, History, Crime"
The Lord of the Rings: The Two Towers,2002,179,"79,000,000.00","141,532,518.07","926,287,400.00","146,915,413.00",High,"Adventure, Fantasy, Action"
Cremaster 3,2002,182,"4,000,000.00","7,166,203.45","11,047.00","7,438,755.00",Low,"Drama, Fantasy"
Ghosts of the Abyss,2003,61,"13,000,000.00","22,771,195.65","17,040,871.00","16,890,847.00",Low,Documentary
The Jungle Book 2,2003,72,"20,000,000.00","35,032,608.70","135,680,000.00","25,985,919.00",Mid,"Family, Animation, Adventure"
Piglet's Big Movie,2003,75,"46,000,000.00","80,575,000.00","62,870,546.00","59,767,614.00",Mid,"Animation, Family"
Open Water,2003,79,"130,000.00","227,711.96","54,667,954.00","168,908.00",Low,"Drama, Thriller, Horror"
Elephant,2003,81,"3,000,000.00","5,254,891.30","10,012,022.00","3,897,888.00",Low,"Crime, Drama"
Phone Booth,2003,81,"13,000,000.00","22,771,195.65","97,837,138.00","16,890,847.00",Low,Thriller
The Cat in the Hat,2003,81,"109,000,000.00","190,927,717.39","133,800,000.00","141,623,259.00",High,"Comedy, Adventure, Family, Fantasy"
Deep Blue,2003,83,"5,000,000.00","8,758,152.17","19,292,500.00","6,496,480.00",Low,Documentary
Dead End,2003,83,"900,000.00","1,576,467.39","77,000,000.00","1,169,366.00",Low,"Mystery, Horror, Thriller"
Marci X,2003,84,"20,000,000.00","35,032,608.70","1,675,706.00","25,985,919.00",Mid,Comedy
Wrong Turn,2003,84,"12,600,000.00","22,070,543.48","28,650,575.00","16,371,129.00",Low,"Horror, Thriller"
Rugrats Go Wild,2003,84,"25,000,000.00","43,790,760.87","55,443,032.00","32,482,399.00",Mid,"Animation, Family, Adventure, Comedy"
Spy Kids 3-D: Game Over,2003,84,"38,000,000.00","66,561,956.52","197,011,982.00","49,373,246.00",Mid,"Action, Adventure, Comedy, Family, Science Fiction"
Scary Movie 3,2003,84,"48,000,000.00","84,078,260.87","220,673,217.00","62,366,206.00",Mid,Comedy
Dumb and Dumberer: When Harry Met Lloyd,2003,85,"19,000,000.00","33,280,978.26","39,267,515.00","24,686,623.00",Mid,Comedy
Brother Bear,2003,85,"128,000,000.00","224,208,695.65","250,397,798.00","166,309,882.00",High,"Adventure, Animation, Family"
Malibu's Most Wanted,2003,86,"15,000,000.00","26,274,456.52","34,000,000.00","19,489,439.00",Low,"Comedy, Crime"
View from the Top,2003,87,"30,000,000.00","52,548,913.04","19,526,014.00","38,978,878.00",Mid,"Comedy, Romance, Drama"
The Station Agent,2003,88,"500,000.00","875,815.22","8,679,814.00","649,648.00",Low,"Drama, Comedy"
Old School,2003,88,"24,000,000.00","42,039,130.43","87,135,520.00","31,183,103.00",Mid,Comedy
Johnny English,2003,88,"40,000,000.00","70,065,217.39","160,583,018.00","51,971,838.00",Mid,"Adventure, Action, Comedy"
The Haunted Mansion,2003,88,"90,000,000.00","157,646,739.13","182,290,266.00","116,936,635.00",High,"Thriller, Fantasy, Comedy, Family, Mystery"
Indigo,2003,89,"500,000.00","875,815.22","1,190,000.00","649,648.00",Low,"Drama, Family"
Mambo Italiano,2003,89,"4,361,898.00","7,640,433.29","3,031,801.00","5,667,396.00",Low,"Comedy, Romance"
House of 1000 Corpses,2003,89,"7,000,000.00","12,261,413.04","17,949,758.00","9,095,072.00",Low,"Horror, Crime"
Duplex,2003,89,"40,000,000.00","70,065,217.39","19,322,135.00","51,971,838.00",Mid,Comedy
Out for a Kill,2003,90,"14,000,000.00","24,522,826.09","547,333.00","18,190,143.00",Low,"Action, Thriller"
Saints and Soldiers,2003,90,"780,000.00","1,366,271.74","1,310,470.00","1,013,451.00",Low,"War, Drama, Action, Adventure, History"
From Justin to Kelly,2003,90,"12,000,000.00","21,019,565.22","4,922,166.00","15,591,551.00",Low,"Comedy, Romance"
House of the Dead,2003,90,"12,000,000.00","21,019,565.22","13,818,181.00","15,591,551.00",Low,"Horror, Action, Thriller"
Sinbad: Legend of the Seven Seas,2003,90,"60,000,000.00","105,097,826.09","80,767,884.00","77,957,757.00",High,"Family, Animation, Adventure, Comedy, Fantasy, Action"
Identity,2003,90,"28,000,000.00","49,045,652.17","90,259,536.00","36,380,287.00",Mid,"Mystery, Thriller"
Final Destination 2,2003,90,"26,000,000.00","45,542,391.30","90,941,129.00","33,781,695.00",Mid,"Horror, Mystery"
A Mighty Wind,2003,91,"6,000,000.00","10,509,782.61","18,750,246.00","7,795,776.00",Low,"Comedy, Music"
Zero Day,2003,92,"20,000.00","35,032.61","8,466.00","25,986.00",Low,"Crime, Drama"
Blue Car,2003,92,"1,000,000.00","1,751,630.43","464,000.00","1,299,296.00",Low,Drama
Uptown Girls,2003,92,"20,000,000.00","35,032,608.70","44,617,342.00","25,985,919.00",Mid,"Family, Comedy, Drama"
Bad Santa,2003,92,"23,000,000.00","40,287,500.00","76,490,720.00","29,883,807.00",Mid,"Drama, Comedy, Crime"
Daddy Day Care,2003,92,"60,000,000.00","105,097,826.09","164,433,867.00","77,957,757.00",High,"Comedy, Family"
The Mudge Boy,2003,93,"800,000.00","1,401,304.35","62,852.00","1,039,437.00",Low,"Drama, Romance"
May,2003,93,"500,000.00","875,815.22","264,349.00","649,648.00",Low,"Comedy, Drama, Horror"
Young Adam,2003,93,"6,400,000.00","11,210,434.78","2,500,000.00","8,315,494.00",Low,"Drama, Thriller, Crime, Romance"
Looney Tunes: Back in Action,2003,93,"80,000,000.00","140,130,434.78","68,514,844.00","103,943,676.00",High,"Animation, Comedy, Family"
Shattered Glass,2003,94,"6,000,000.00","10,509,782.61","2,944,752.00","7,795,776.00",Low,"Drama, History"
The Hunted,2003,94,"55,000,000.00","96,339,673.91","34,234,008.00","71,461,277.00",High,"Drama, Action, Thriller, Crime"
The Lizzie McGuire Movie,2003,94,"17,000,000.00","29,777,717.39","55,534,455.00","22,088,031.00",Mid,"Family, Comedy"
Honey,2003,94,"18,000,000.00","31,529,347.83","62,646,763.00","23,387,327.00",Mid,"Music, Drama, Romance"
Civil Brand,2003,95,"500,000.00","875,815.22","243,347.00","649,648.00",Low,"Crime, Drama, Thriller"
Head of State,2003,95,"35,200,000.00","61,657,391.30","37,788,228.00","45,735,217.00",Mid,Comedy
Just Married,2003,95,"18,000,000.00","31,529,347.83","101,564,935.00","23,387,327.00",Mid,"Comedy, Romance"
"Legally Blonde 2: Red, White & Blonde",2003,95,"45,000,000.00","78,823,369.57","124,914,842.00","58,468,318.00",Mid,"Comedy, Romance"
Absolon,2003,96,"8,000,000.00","14,013,043.48","7,016.00","10,394,368.00",Low,"Action, Science Fiction"
In Hell,2003,96,"17,000,000.00","29,777,717.39","293,671.00","22,088,031.00",Mid,Action
The Real Cancun,2003,96,"7,500,000.00","13,137,228.26","5,345,083.00","9,744,720.00",Low,Documentary
Fat Pizza,2003,96,"400,000.00","700,652.17","7,888,102.00","519,718.00",Low,Comedy
Alex & Emma,2003,96,"30,000,000.00","52,548,913.04","15,368,897.00","38,978,878.00",Mid,"Comedy, Romance"
Carolina,2003,97,"15,000,000.00","26,274,456.52","308,641.00","19,489,439.00",Low,"Comedy, Romance"
Foolproof,2003,97,"8,256,269.00","14,461,932.06","460,978.00","10,727,337.00",Low,Action
Confidence,2003,97,"15,000,000.00","26,274,456.52","23,014,206.00","19,489,439.00",Low,"Action, Comedy, Thriller, Crime, Mystery"
Cabin Fever,2003,97,"1,500,000.00","2,627,445.65","30,553,395.00","1,948,944.00",Low,Horror
Freddy vs. Jason,2003,97,"30,000,000.00","52,548,913.04","116,643,421.00","38,978,878.00",Mid,Horror
Freaky Friday,2003,97,"26,000,000.00","45,542,391.30","160,846,332.00","33,781,695.00",Mid,"Comedy, Family, Fantasy"
Elf,2003,97,"32,000,000.00","56,052,173.91","225,097,437.00","41,577,470.00",Mid,"Comedy, Family, Fantasy"
Detention,2003,98,"5,000,000.00","8,758,152.17","16,324.00","6,496,480.00",Low,"Action, Thriller"
Party Monster,2003,98,"5,000,000.00","8,758,152.17","742,898.00","6,496,480.00",Low,"Comedy, Drama, Crime"
Veronica Guerin,2003,98,"17,000,000.00","29,777,717.39","9,439,660.00","22,088,031.00",Mid,"Drama, Crime, Thriller"
The In-Laws,2003,98,"40,000,000.00","70,065,217.39","26,800,000.00","51,971,838.00",Mid,"Action, Comedy"
Basic,2003,98,"50,000,000.00","87,581,521.74","42,792,561.00","64,964,797.00",Mid,"Action, Drama, Mystery, Thriller, Crime"
The Texas Chainsaw Massacre,2003,98,"9,500,000.00","16,640,489.13","107,363,905.00","12,343,312.00",Low,Horror
Gothika,2003,98,"40,000,000.00","70,065,217.39","141,591,324.00","51,971,838.00",Mid,"Horror, Thriller"
Cheaper by the Dozen,2003,98,"40,000,000.00","70,065,217.39","190,212,113.00","51,971,838.00",Mid,"Comedy, Family"
The Room,2003,99,"6,000,000.00","10,509,782.61","1,752,988.00","7,795,776.00",Low,"Comedy, Drama, Romance"
"Love, Sex, and Eating the Bones",2003,100,"2,500,000.00","4,379,076.09","321,000.00","3,248,240.00",Low,"Comedy, Romance"
Levity,2003,100,"7,500,000.00","13,137,228.26","723,000.00","9,744,720.00",Low,"Crime, Drama"
Willard,2003,100,"22,000,000.00","38,535,869.57","8,564,586.00","28,584,511.00",Mid,"Horror, Drama, Thriller"
Intolerable Cruelty,2003,100,"60,000,000.00","105,097,826.09","119,940,815.00","77,957,757.00",High,"Comedy, Romance"
Baywatch: Hawaiian Wedding,2003,100,"5,500,000.00","9,633,967.39","136,000,000.00","7,146,128.00",Low,"Action, Drama, Adventure, TV Movie"
Finding Nemo,2003,100,"94,000,000.00","164,653,260.87","940,335,536.00","122,133,819.00",High,"Animation, Family"
