Title,Release Year,Runtime,Budget,CPI Budget,Revenue,CPI budget,Budget Type,Genres
Let's Do It Again,1975,113,"70,000.00","419,349.44","11,800,000.00","22,582.00",Low,"Comedy, Crime"
The Return of the Pink Panther,1975,113,"5,000,000.00","29,953,531.60","41,833,347.00","1,612,970.00",Low,"Mystery, Comedy, Crime"
Three Days of the Condor,1975,117,"7,800,000.00","46,727,509.29","41,509,797.00","2,516,234.00",Low,"Thriller, Mystery"
Lucky Lady,1975,118,"13,000,000.00","77,879,182.16","24,441,725.00","4,193,723.00",Low,"Crime, Comedy"
French Connection II,1975,119,"4,300,000.00","25,760,037.17","12,484,444.00","1,387,155.00",Low,"Action, Crime, Drama, Thriller"
Hustle,1975,120,"3,050,000.00","18,271,654.28","10,390,000.00","983,912.00",Low,"Crime, Drama, Mystery, Thriller"
Jaws,1975,124,"7,000,000.00","41,934,944.24","470,653,000.00","2,258,159.00",Low,"Horror, Thriller, Adventure"
At Long Last Love,1975,125,"6,000,000.00","35,944,237.92","1,500,000.00","1,935,565.00",Low,"Comedy, Music, Romance"
Dog Day Afternoon,1975,125,"1,800,000.00","10,783,271.38","46,665,856.00","580,669.00",Low,"Crime, Drama, Thriller"
The Man Who Would Be King,1975,129,"8,000,000.00","47,925,650.56","12,678.00","2,580,753.00",Low,"Adventure, Drama"
One Flew Over the Cuckoo's Nest,1975,133,"3,000,000.00","17,972,118.96","108,981,275.00","967,782.00",Low,Drama
Nashville,1975,160,"2,200,000.00","13,179,553.90","9,991,258.00","709,707.00",Low,"Drama, Music, Comedy"
Barry Lyndon,1975,185,"11,000,000.00","65,897,769.52","198,992.00","3,548,535.00",Low,"Drama, Romance, War"
Alice in Wonderland: An X-Rated Musical Fantasy,1976,72,"400,000.00","2,265,729.35","90,000,000.00","205,370.00",Low,"Comedy, Fantasy"
Jackson County Jail,1976,84,"445,000.00","2,520,623.90","2,300,000.00","228,474.00",Low,"Crime, Drama"
Silent Movie,1976,87,"4,400,000.00","24,923,022.85","36,145,695.00","2,259,066.00",Low,Comedy
Cannonball,1976,93,"780,000.00","4,418,172.23","1,500,000.00","400,471.00",Low,"Action, Comedy"
The Blue Bird,1976,95,"12,000,000.00","67,971,880.49","887,000.00","6,161,089.00",Low,"Adventure, Family, Fantasy, Drama"
The Enforcer,1976,96,"9,000,000.00","50,978,910.37","46,236,000.00","4,620,817.00",Low,"Crime, Action"
Carrie,1976,98,"1,800,000.00","10,195,782.07","25,878,153.00","924,163.00",Low,"Horror, Thriller"
Obsession,1976,99,"1,400,000.00","7,930,052.72","4,468,000.00","718,794.00",Low,"Thriller, Mystery, Drama"
Stay Hungry,1976,102,"5,000,000.00","28,321,616.87","24,854,765.00","2,567,120.00",Low,"Comedy, Drama"
The Bad News Bears,1976,102,"9,000,000.00","50,978,910.37","42,349,782.00","4,620,817.00",Low,"Family, Comedy"
The Duchess and the Dirtwater Fox,1976,103,"4,590,000.00","25,999,244.29","4,120,000.00","2,356,617.00",Low,"Comedy, Western"
The Pink Panther Strikes Again,1976,103,"6,000,000.00","33,985,940.25","33,833,201.00","3,080,545.00",Low,"Comedy, Crime"
Ode to Billy Joe,1976,105,"1,100,000.00","6,230,755.71","27,000,000.00","564,767.00",Low,"Drama, Romance"
Futureworld,1976,108,"2,500,000.00","14,160,808.44","4,200,000.00","1,283,560.00",Low,"Action, Adventure, Science Fiction, Thriller"
The Omen,1976,111,"2,800,000.00","15,860,105.45","60,922,980.00","1,437,587.00",Low,"Horror, Thriller"
Taxi Driver,1976,114,"1,900,000.00","10,762,214.41","28,600,000.00","975,506.00",Low,"Crime, Drama"
Silver Streak,1976,114,"6,500,000.00","36,818,101.93","51,079,064.00","3,337,257.00",Low,"Comedy, Crime, Romance, Thriller"
Logan's Run,1976,119,"9,000,000.00","50,978,910.37","25,000,000.00","4,620,817.00",Low,"Action, Science Fiction"
Rocky,1976,119,"1,000,000.00","5,664,323.37","225,250,402.00","513,424.00",Low,"Drama, Romance"
Family Plot,1976,120,"2,000,000.00","11,328,646.75","7,900,000.00","1,026,848.00",Low,"Comedy, Crime, Thriller"
Network,1976,122,"3,800,000.00","21,524,428.82","23,689,877.00","1,951,012.00",Low,Drama
Marathon Man,1976,125,"6,500,000.00","36,818,101.93","21,709,020.00","3,337,257.00",Low,Thriller
The Cassandra Crossing,1976,129,"6,000,000.00","33,985,940.25","15,300,000.00","3,080,545.00",Low,"Action, Thriller"
King Kong,1976,134,"23,000,000.00","130,279,437.61","90,614,445.00","11,808,754.00",Low,"Adventure, Fantasy"
The Outlaw Josey Wales,1976,135,"3,700,000.00","20,957,996.49","31,800,000.00","1,899,669.00",Low,Western
All the President's Men,1976,138,"8,500,000.00","48,146,748.68","70,600,000.00","4,364,105.00",Low,"Drama, History, Mystery, Thriller"
A Star Is Born,1976,139,"6,000,000.00","33,985,940.25","80,000,000.00","3,080,545.00",Low,"Drama, Music, Romance"
The Message,1976,178,"10,000,000.00","56,643,233.74","15,000,000.00","5,134,241.00",Low,"Adventure, Drama, Action, History"
The Rescuers,1977,78,"1,200,000.00","6,382,178.22","71,215,869.00","544,387.00",Low,"Fantasy, Family, Animation, Adventure"
Wizards,1977,80,"1,200,000.00","6,382,178.22","9,000,000.00","544,387.00",Low,"Animation, Fantasy, Science Fiction"
Raggedy Ann & Andy: A Musical Adventure,1977,86,"4,000,000.00","21,273,927.39","1,500,000.00","1,814,622.00",Low,"Animation, Adventure, Music, Family, Fantasy, Comedy"
Breaker! Breaker!,1977,86,"250,000.00","1,329,620.46","12,000,000.00","113,414.00",Low,"Action, Adventure, Crime, Thriller"
Double face,1977,87,"10,000.00","53,184.82","200,000.00","4,537.00",Low,Drama
Eraserhead,1977,89,"100,000.00","531,848.18","7,000,000.00","45,366.00",Low,Horror
The Hills Have Eyes,1977,90,"230,000.00","1,223,250.83","25,000,000.00","104,341.00",Low,Horror
Damnation Alley,1977,91,"17,000,000.00","90,414,191.42","8,720,000.00","7,712,145.00",Low,"Action, Adventure, Science Fiction"
Annie Hall,1977,93,"4,000,000.00","21,273,927.39","38,288,028.00","1,814,622.00",Low,"Comedy, Drama, Romance"
High Anxiety,1977,94,"4,015,000.00","21,353,704.62","31,063,038.00","1,821,427.00",Low,"Comedy, Mystery, Thriller"
Fun with Dick and Jane,1977,95,"4,500,000.00","23,933,168.32","13,600,000.00","2,041,450.00",Low,"Comedy, Crime"
Orca,1977,95,"17,500,000.00","93,073,432.34","14,717,854.00","7,938,973.00",Low,"Adventure, Horror, Thriller"
Moonshine County Express,1977,96,"700,000.00","3,722,937.29","1,000,000.00","317,559.00",Low,"Action, Crime, Drama"
Smokey and the Bandit,1977,96,"4,300,000.00","22,869,471.95","126,737,428.00","1,950,719.00",Low,"Action, Adventure, Comedy"
Kingdom of the Spiders,1977,97,"500,000.00","2,659,240.92","17,000,000.00","226,828.00",Low,"Horror, Science Fiction"
The Last Wave,1977,106,"810,000.00","4,307,970.30","1,258,000.00","367,461.00",Low,"Mystery, Drama, Thriller"
The Gauntlet,1977,109,"5,500,000.00","29,251,650.17","26,414,658.00","2,495,106.00",Low,"Drama, Action, Crime, Thriller"
Sinbad and the Eye of the Tiger,1977,113,"3,500,000.00","18,614,686.47","16,000,000.00","1,587,795.00",Low,"Action, Adventure, Family, Fantasy, Science Fiction"
Airport '77,1977,114,"6,000,000.00","31,910,891.09","30,000,000.00","2,721,933.00",Low,"Action, Adventure, Drama, Thriller"
Julia,1977,117,"7,840,000.00","41,696,897.69","20,700,000.00","3,556,660.00",Low,Drama
Exorcist II: The Heretic,1977,118,"14,000,000.00","74,458,745.87","30,749,142.00","6,351,178.00",Low,"Drama, Horror, Thriller"
Saturday Night Fever,1977,119,"3,500,000.00","18,614,686.47","237,113,184.00","1,587,795.00",Low,"Music, Drama"
Sorcerer,1977,121,"22,000,000.00","117,006,600.66","9,000,000.00","9,980,423.00",Low,"Thriller, Adventure, Drama"
Star Wars,1977,121,"11,000,000.00","58,503,300.33","775,398,007.00","4,990,211.00",Low,"Adventure, Action, Science Fiction"
Project 4K77 - fan remake of original star wars,1977,121,"11,000,000.00","58,503,300.33","775,398,507.00","4,990,211.00",Low,Action
Capricorn One,1977,123,"5,000,000.00","26,592,409.24","12,000,000.00","2,268,278.00",Low,"Drama, Action, Thriller, Science Fiction"
The Deep,1977,123,"9,000,000.00","47,866,336.63","100,000,000.00","4,082,900.00",Low,"Mystery, Thriller, Adventure"
The Spy Who Loved Me,1977,125,"13,000,000.00","69,140,264.03","185,438,673.00","5,897,523.00",Low,"Adventure, Action, Thriller"
Close Encounters of the Third Kind,1977,135,"20,000,000.00","106,369,636.96","306,889,114.00","9,073,112.00",Low,"Science Fiction, Drama"
Black Sunday,1977,143,"8,000,000.00","42,547,854.79","15,769,322.00","3,629,245.00",Low,"Action, Drama, Thriller"
"New York, New York",1977,163,"14,000,000.00","74,458,745.87","16,400,000.00","6,351,178.00",Low,"Drama, Music, Romance"
A Bridge Too Far,1977,175,"22,000,000.00","117,006,600.66","50,750,000.00","9,980,423.00",Low,"Drama, History, War"
Killer of Sheep,1978,80,"100,000.00","494,325.15","362,222.00","38,652.00",Low,Drama
Watership Down,1978,88,"1,000,000.00","4,943,251.53","3,713,768.00","386,521.00",Low,"Adventure, Animation, Drama"
Halloween,1978,91,"325,000.00","1,606,556.75","70,274,000.00","125,619.00",Low,"Horror, Thriller"
Interiors,1978,93,"10,000,000.00","49,432,515.34","10,400,000.00","3,865,207.00",Low,Drama
